az,label
9.9,0
9.9,0
9.92,0
9.89,0
9.89,0
9.91,0
9.9,0
9.87,0
9.89,0
9.88,0
9.89,0
9.9,0
9.89,0
9.86,0
9.9,0
9.9,0
9.92,0
9.94,0
9.91,0
9.91,0
9.87,0
9.9,0
9.89,0
9.9,0
9.91,0
9.92,0
9.89,0
9.89,0
9.88,0
9.88,0
9.88,0
9.88,0
9.85,0
9.91,0
9.88,0
9.88,0
9.92,0
9.89,0
10.02,0
10.06,0
9.73,0
9.71,0
9.57,0
11.61,0
10.52,0
13.21,0
10.71,0
11.69,0
6.71,0
9.42,0
7.89,0
7.21,0
1.52,1
8.15,0
8.88,0
5.99,0
10.16,0
7.81,0
12.85,0
10.19,0
7.22,0
8.61,0
10.41,0
10.14,0
10.27,0
10.08,0
9.94,0
10.6,0
11.26,0
10.01,0
6.78,0
2.37,0
-8.29,1
-9.96,1
19.65,1
39.89,1
21.31,1
14.34,1
13.34,1
9.6,0
7.35,0
6.71,0
6.72,1
6.54,1
6.52,1
5.71,1
5.77,1
9.25,0
11.14,0
12.73,0
10.09,0
9.91,0
10.28,0
9.9,0
6.83,0
19.84,0
16.31,1
10.24,0
-0.19,0
-9.12,0
-6.68,1
7.57,1
22.52,1
30.02,1
21.12,1
15.29,1
13.33,1
6.71,1
-4.15,1
-3.0,1
13.43,1
18.11,1
7.05,1
4.68,1
